img_id,label
1,Asian
2,Asian
3,Asian
4,Asian
5,Hispanic
6,Black
7,Asian
8,Asian
9,Asian
10,Asian
11,Asian
12,Asian
13,Asian
14,Asian
15,Asian
16,Asian
17,Asian
18,Asian
20,White
21,Asian
22,Black
23,White
24,White
25,Asian
26,Asian
27,Black
28,White
29,Indian
30,Black
31,Asian
32,Asian
33,Asian
34,Black
35,Asian
36,Black
37,Asian
38,Asian
39,Asian
40,Black
41,Asian
42,Asian
43,Asian
44,Asian
45,Asian
46,Asian
47,Asian
48,Black
49,Asian
50,Black
51,Asian
52,Asian
53,White
55,Black
56,Asian
57,Asian
58,Asian
60,Asian
61,Asian
62,Asian
63,Asian
65,Asian
67,Asian
68,Asian
69,Asian
72,Black
73,Asian
74,Asian
75,Asian
76,Black
77,Asian
78,Asian
79,Asian
80,Black
81,Asian
82,Asian
83,Black
84,Asian
85,Asian
86,Asian
87,Asian
89,Asian
90,Asian
91,Black
92,Asian
93,Asian
94,Black
96,Asian
97,Asian
99,Asian
100,Black
101,Asian
102,Asian
103,Asian
104,Asian
105,Black
106,Asian
107,Black
108,Black
109,Black
110,Asian
111,White
112,Black
113,Asian
114,Asian
115,Asian
116,Asian
117,Asian
118,White
119,Indian
120,Asian
121,Asian
122,Asian
123,Asian
125,White
126,Asian
127,Hispanic
128,Hispanic
129,Asian
130,Asian
131,Asian
132,Black
133,Black
134,Black
135,Asian
136,Black
137,Black
138,Black
139,Black
140,White
141,Asian
142,White
143,Black
144,Asian
145,Asian
146,Asian
148,Asian
150,White
151,Black
152,Asian
153,Asian
154,Asian
155,Asian
156,Asian
158,Asian
159,Asian
160,Asian
161,Asian
162,Asian
163,Asian
164,Asian
165,Asian
166,Asian
167,Asian
169,Asian
170,Asian
171,Asian
173,Asian
174,Asian
175,Asian
176,White
177,Asian
178,Asian
179,Asian
180,Asian
181,Asian
183,Asian
184,Asian
185,Asian
186,Asian
188,Asian
189,Asian
190,Black
191,Asian
192,Hispanic
193,Black
194,Black
195,Black
196,Hispanic
197,Black
198,Asian
199,Black
201,Black
202,White
204,Asian
205,White
206,Asian
208,Asian
209,Asian
210,Asian
211,Black
212,Asian
214,White
215,White
216,Black
218,Asian
219,Asian
220,Asian
221,Asian
222,Black
223,Asian
224,Asian
225,Asian
226,Asian
227,Asian
228,Asian
230,Black
231,Asian
232,Asian
233,Asian
234,Asian
236,Asian
237,Asian
238,Asian
239,Asian
240,Asian
241,Asian
242,Asian
243,White
244,Black
245,Indian
246,Asian
247,Asian
248,Asian
250,Asian
251,Black
252,Black
253,Asian
254,Asian
255,Asian
256,Asian
258,Asian
259,Asian
260,Black
262,Black
263,Black
264,Asian
265,Asian
266,Asian
267,Asian
268,Asian
269,Black
270,Black
271,Asian
272,Black
273,Black
274,Black
275,Black
276,Asian
279,Black
280,Asian
281,Black
282,Asian
283,Black
284,Asian
285,Asian
286,Hispanic
287,Asian
288,Asian
289,Asian
290,Black
292,Asian
293,Black
294,Black
295,Asian
296,Hispanic
299,Asian
300,Asian
301,Asian
303,Black
304,Black
305,Asian
306,Black
308,Black
309,Indian
310,Asian
311,Hispanic
312,Asian
314,Asian
315,Black
316,Asian
317,Asian
318,Asian
320,Asian
321,Asian
322,Asian
323,Black
324,Black
325,Asian
326,Asian
327,Black
329,Asian
330,Black
331,Black
332,Black
333,Black
335,Black
336,Black
337,Asian
338,Black
340,Black
341,Asian
342,Black
344,Asian
345,Asian
346,Asian
347,Black
348,Asian
349,Asian
350,Black
351,White
352,White
353,White
354,White
355,White
356,Indian
357,Asian
358,White
359,White
360,White
361,White
362,White
363,Asian
364,White
365,Asian
366,White
367,Black
368,White
369,Black
370,White
371,Black
372,White
373,Asian
374,Asian
375,Asian
376,White
379,Asian
380,White
381,Asian
383,Hispanic
384,Black
385,Asian
386,Asian
387,Asian
388,Asian
389,Asian
390,Asian
391,Asian
393,Asian
395,Asian
396,Asian
397,Asian
398,Asian
400,Asian
401,Black
402,Black
403,Black
404,Black
405,Black
407,Black
408,Black
409,Black
410,Black
412,Black
413,Black
414,Black
415,Black
416,Black
417,Black
418,Black
419,Black
420,White
421,Asian
422,Hispanic
423,White
424,Indian
425,Asian
427,Black
428,Black
429,Asian
430,Black
431,White
432,Asian
433,Black
434,White
435,Black
436,Black
437,Black
438,Black
440,Black
441,Black
442,Asian
443,Black
444,Black
445,Black
446,Black
447,Black
448,Black
449,Black
452,Asian
453,Black
454,Asian
455,Asian
456,Asian
457,Black
458,White
459,Asian
462,White
463,Asian
464,Black
465,Hispanic
466,Asian
467,Black
468,Black
469,Black
470,Black
471,Black
472,Asian
473,Black
474,Black
475,Asian
476,Asian
478,Asian
479,White
480,Asian
481,Black
482,Black
483,Asian
484,Black
485,Asian
486,Black
487,Asian
488,White
489,Black
490,Asian
491,Black
492,Indian
493,Asian
494,Indian
495,Black
496,Asian
497,Black
498,Asian
499,Asian
500,Black
501,Asian
504,Asian
505,Black
506,Black
507,Black
508,Asian
509,White
510,Black
511,Indian
513,White
514,Asian
515,White
516,White
517,Black
518,Asian
519,Black
520,White
521,Hispanic
522,Black
523,Black
524,Asian
525,Black
526,Black
527,Black
528,Black
529,Black
530,Asian
531,White
532,Black
533,Asian
534,Asian
535,Asian
536,Indian
538,Black
540,Black
541,Black
542,Black
543,Black
544,Black
545,Black
546,Black
548,Black
549,Black
550,Black
551,Asian
553,Asian
554,Asian
555,Black
556,White
557,Black
558,Black
559,Black
560,Black
561,Asian
562,Black
563,Black
564,White
565,Black
566,Black
567,Black
568,Black
569,Black
570,Black
571,Black
572,White
573,White
574,Black
575,Hispanic
576,Asian
577,Black
578,Black
579,Black
580,Black
581,Asian
582,Black
583,Black
584,Black
585,Black
586,Asian
587,Hispanic
589,White
590,White
592,Black
593,Black
594,Black
595,Black
596,Black
597,Asian
598,Black
599,Asian
600,Black
601,Black
602,Black
603,Black
604,Asian
605,Black
606,Black
607,Black
608,White
609,Black
610,Black
612,Asian
613,White
614,Black
615,Asian
616,Asian
617,White
618,Asian
620,Hispanic
621,Black
622,Black
623,White
624,Black
625,Asian
626,Black
627,Black
628,Black
629,Black
630,Black
631,Black
632,Black
633,Black
634,Asian
635,Black
636,Black
637,Black
638,Black
639,Asian
640,Asian
641,Black
642,Black
643,Black
644,Black
645,Black
646,Asian
647,Black
648,White
649,White
650,White
651,Asian
652,Asian
653,Black
654,Asian
655,White
657,Black
658,Asian
659,Black
660,Black
661,Black
662,Asian
663,Black
664,White
665,Black
666,Black
667,Black
668,Black
669,Black
670,Black
671,Black
672,Black
673,Black
674,White
675,Black
676,Black
677,Black
678,Black
681,Asian
682,Asian
683,Asian
684,White
685,Black
686,White
688,Asian
689,Asian
690,Black
691,Hispanic
